takeoffThrust	launchMassKg	eccentricity	meanAltitude	periodMinutes	vehicleLength	classOfOrbit
4208	3420	0.000261	35786	1436.08	58	GEO
4208	3412	0.000237	35786	1436.08	58	GEO
4208	4500	0.000273	35786.5	1436.12	58	GEO
4208	3542	0.000154	35785.5	1436.08	58	GEO
4008	2924	0.000225	35785.5	1436.08	58	GEO
4008	2850	0.000546	35786	1436.09	58	GEO
5708	3642	0.000261	35786	1436.08	58	GEO
5708	4685	0.000391	35786.5	1436.1	58	GEO
5708	2648	0.000285	35786	1436.1	58	GEO
5708	1510	0.000273	35785.5	1436.06	58	GEO
5708	2596	0.000391	35785.5	1436.06	58	GEO
5708	2704	0.00038	35786	1436.09	58	GEO
5708	3531	0.0000593	35786.5	1436.11	58	GEO
5708	2000	0.000403	35786	1436.07	58	GEO
5708	4710	0.000178	35785.5	1436.08	58	GEO
5708	3014	0.0000593	35786.5	1436.13	58	GEO
5708	1500	0.000403	35787	1436.07	58	GEO
5708	4723	0.000261	35786	1436.1	58	GEO
5708	1510	0.000332	35787	1436.15	58	GEO
5708	3720	0.000178	35786.5	1436.11	58	GEO
5708	4723	0.000249	35785.5	1436.07	58	GEO
5708	2066	0.000393	35625.5	1427.91	58	GEO
5708	4723	0.000344	35787.5	1436.16	58	GEO
5708	4051	0.000166	35786	1436.09	58	GEO
5708	4723	0.000439	35786.5	1436.12	58	GEO
5708	2500	0.0000712	35791	1436.1	58	GEO
5708	1450	0.000107	35786.5	1436.12	58	GEO
5528	3642	0.000237	35786	1436.1	58	GEO
5528	3790	0.000213	35785	1436.06	58	GEO
5528	1474	0.000261	35786	1436.07	58	GEO
5528	4300	0.000142	35786	1436.09	58	GEO
5528	3909	0.000119	35786	1436.1	58	GEO
5528	1780	0.000403	35786	1436.07	58	GEO
5528	4167	0.000237	35786	1436.09	58	GEO
5528	2495	0.000332	35786	1436.09	58	GEO
5528	3878	0.000308	35786	1436.09	58	GEO
5528	1825	0.000522	35786	1436.08	58	GEO
5528	1780	0.000249	35786.5	1436.11	58	GEO
5308	2763	0.000213	35787	1436.13	58	GEO
3827	3190	0.000474	35786	1436.08	53	GEO
3827	4137	0.0000593	35786.5	1436.1	54	GEO
3827	4027	0.000083	35785.5	1436.07	54	GEO
1629	2310	0.000996	35787	1436.13	33	GEO
3000	3170	0.000119	35785	1436.04	47	GEO
1737	29	0.00121	1449.5	114.9	35	LEO
2560	627	0.000332	35786	1436.08	35	GEO
2891	1630	0.000447	20457	729.14	63	MEO
4525	1	0.00143	616	97.03	34	LEO
4525	4	0.00115	613	96.96	34	LEO
4525	3	0.0144	695.5	98.7	34	LEO
4525	3	0.00136	613.5	96.97	34	LEO
4525	60	0.00264	631.5	97.35	34	LEO
4525	2	0.00308	617.5	97	34	LEO
4525	25	0.00251	600.5	96.7	34	LEO
4525	100	0.00492	647.5	97.68	34	LEO
4525	1360	0.00564	547	95.6	34	LEO
4525	12	0.00499	639	97.5	34	LEO
4525	4	0.0156	704.5	98.8	34	LEO
4525	2	0.00598	654	96.99	34	LEO
4525	20	0.00636	627.5	97.3	34	LEO
4525	25	0.00337	593.5	96.55	34	LEO
4525	1	0.00358	615	96.9	34	LEO
4525	2	0.00861	654.5	97.8	34	LEO
4525	185	0.00172	624	97.19	34	LEO
4525	175	0.00114	629	97.3	34	LEO
4525	1360	0.0034	545.5	95.6	34	LEO
4525	49	0.00341	529.5	95.23	34	LEO
4525	4	0.00136	615.5	97.01	34	LEO
4525	12	0.00524	688	98.5	34	LEO
4525	12	0.00686	697.5	98.7	34	LEO
4525	1	0.00635	638.5	94.4	34	LEO
4525	6	0.00129	615	96.99	34	LEO
4525	12	0.00609	693	98.6	34	LEO
4525	200	0.00149	666.5	98.1	34	LEO
4525	1	0.00158	612	96.93	34	LEO
4525	50	0.00232	522	95.07	34	LEO
4525	150	0.00236	609.5	96.88	34	LEO
4525	5	0.016	706	98.9	34	LEO
4525	980	0.0013	531	95.25	34	LEO
4525	1400	0.00123	543.5	95.5	34	LEO
4525	10	0.018	721.5	99.2	34	LEO
4525	4	0.00107	614.5	96.98	34	LEO
4525	12	0.00738	610.5	97	34	LEO
4525	4	0.00115	616	97.02	34	LEO
4525	4	0.00107	614.5	96.99	34	LEO
4525	1230	0.000145	508	94.8	34	LEO
4525	10	0.00705	652.5	97.8	34	LEO
4525	1	0.00619	654.5	97.82	34	LEO
4525	12	0.00725	664	98	34	LEO
4525	4	0.00129	616	97.02	34	LEO
4525	175	0.00121	629.5	97.3	34	LEO
4525	175	0.00179	629.5	97.3	34	LEO
4525	2	0.00107	614.5	96.98	34	LEO
4525	65	0.00138	515.5	94.93	34	LEO
4525	12	0.00852	673	98	34	LEO
4525	97	0.000142	661	98	34	LEO
4525	90	0.0000711	661.5	98	34	LEO
4525	12	0.00778	703	98.8	34	LEO
4525	300	0.00129	594	96.56	34	LEO
4525	4	0.00115	615	96.99	34	LEO
4525	1	0.00365	614.5	96.9	34	LEO
4525	10	0.0205	740	99.6	34	LEO
4525	5	0.00612	657	97.88	34	LEO
4525	175	0.00121	629.5	97.3	34	LEO
4525	49	0.00463	537	95.38	34	LEO
4525	4	0.00115	614	96.98	34	LEO
4525	4	0.00129	614	96.98	34	LEO
4525	310	0.00158	608	96.85	34	LEO
4525	4	0.00605	654.5	97.82	34	LEO
4525	1	0.00762	646.5	97.6	34	LEO
4525	750	0.000139	825	101.4	34	LEO
4525	12	0.00422	623.5	97.17	34	LEO
4525	5	0.00612	657	97.88	34	LEO
4525	4	0.001	613	96.96	34	LEO
4525	60	0.00378	639.5	97.51	34	LEO
4525	175	0.00236	629.5	97.3	34	LEO
4525	2	0.00115	613	96.96	34	LEO
4525	12	0.00536	631.5	97.99	34	LEO
